timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
4,571,80.19801980198021,247.46958508258476,dqn,10
5,726,76.73267326732673,234.04824015749193,dqn,10
6,880,76.23762376237624,234.1493271223951,dqn,10
7,1040,79.20792079207921,243.1939088868026,dqn,10
8,1203,80.6930693069307,249.1833050792337,dqn,10
9,1366,80.6930693069307,248.31926827714383,dqn,10
10,1529,80.6930693069307,248.59001711240128,dqn,10
11,1692,80.6930693069307,251.92585584406635,dqn,10
12,1852,79.20792079207921,244.01650145039977,dqn,10
13,2010,78.21782178217822,239.89922127280497,dqn,10
14,2169,78.71287128712872,241.06600525858454,dqn,10
15,2327,78.21782178217822,241.347041810887,dqn,10
16,2492,81.68316831683168,248.63716660918288,dqn,10
17,2652,79.20792079207921,243.85881422946818,dqn,10
18,2807,76.73267326732673,235.3867391967352,dqn,10
19,2962,76.73267326732673,238.15989243949653,dqn,10
20,3114,75.24752475247524,232.54379546497074,dqn,10
1,105,51.98019801980198,160.5015449134285,cdsqn,10
